session_id,source_group,arc_cluster,returned
Human_Astro::conversation_2678448_3177.csv::s6,baseline_returned,1,True
Human_Astro::conversation_2678448_3177.csv::s7,baseline_returned,1,True
Human_Astro::conversation_2678448_3177.csv::s8,baseline_returned,1,True
Human_Astro::conversation_2678448_3177.csv::s9,baseline_returned,1,True
Human_Astro::conversation_2725383_4463.csv::s1,baseline_returned,1,True
Human_Astro::conversation_2725383_4463.csv::s10,baseline_returned,1,True
Human_Astro::conversation_2725383_4463.csv::s2,baseline_returned,2,True
Human_Astro::conversation_2725383_4463.csv::s3,baseline_returned,0,True
Human_Astro::conversation_2725383_4463.csv::s4,baseline_returned,2,True
Human_Astro::conversation_2725383_4463.csv::s5,baseline_returned,2,True
Human_Astro::conversation_2725383_4463.csv::s6,baseline_returned,0,True
Human_Astro::conversation_2725383_4463.csv::s7,baseline_returned,2,True
Human_Astro::conversation_2725383_4463.csv::s8,baseline_returned,0,True
Human_Astro::conversation_2725383_4463.csv::s9,baseline_returned,2,True
Human_Astro::conversation_2850603_1238.csv::s1,baseline_returned,2,True
Human_Astro::conversation_2850603_1238.csv::s10,baseline_returned,1,True
Human_Astro::conversation_2850603_1238.csv::s11,baseline_returned,1,True
Human_Astro::conversation_2850603_1238.csv::s12,baseline_returned,0,True
Human_Astro::conversation_2850603_1238.csv::s13,baseline_returned,1,True
Human_Astro::conversation_2850603_1238.csv::s14,baseline_returned,0,True
Human_Astro::conversation_2850603_1238.csv::s15,baseline_returned,1,True
Human_Astro::conversation_2850603_1238.csv::s16,baseline_returned,0,True
Human_Astro::conversation_2850603_1238.csv::s17,baseline_returned,0,True
Human_Astro::conversation_2850603_1238.csv::s18,baseline_returned,1,True
Human_Astro::conversation_2850603_1238.csv::s19,baseline_returned,0,True
Human_Astro::conversation_2850603_1238.csv::s2,baseline_returned,1,True
Human_Astro::conversation_2850603_1238.csv::s20,baseline_returned,2,True
Human_Astro::conversation_2850603_1238.csv::s21,baseline_returned,2,True
Human_Astro::conversation_2850603_1238.csv::s22,baseline_returned,1,True
Human_Astro::conversation_2850603_1238.csv::s3,baseline_returned,0,True
Human_Astro::conversation_2850603_1238.csv::s4,baseline_returned,1,True
Human_Astro::conversation_2850603_1238.csv::s5,baseline_returned,1,True
Human_Astro::conversation_2850603_1238.csv::s6,baseline_returned,2,True
Human_Astro::conversation_2850603_1238.csv::s7,baseline_returned,1,True
Human_Astro::conversation_2850603_1238.csv::s8,baseline_returned,1,True
Human_Astro::conversation_2850603_1238.csv::s9,baseline_returned,0,True
Human_Astro::conversation_2946836_3183.csv::s1,baseline_returned,0,True
Human_Astro::conversation_2946836_3183.csv::s2,baseline_returned,2,True
Human_Astro::conversation_2946836_3183.csv::s3,baseline_returned,2,True
Human_Astro::conversation_2946836_3183.csv::s4,baseline_returned,0,True
Human_Astro::conversation_2946836_3183.csv::s5,baseline_returned,1,True
Human_Astro::conversation_2946836_3183.csv::s6,baseline_returned,0,True
Human_Astro::conversation_2946836_3183.csv::s7,baseline_returned,3,True
Human_Astro::conversation_2946836_3183.csv::s8,baseline_returned,1,True
