session_id,archetype,source_group,returned
Human_Astro::conversation_3089486_1765.csv::s2,archetype_4,baseline_returned,True
Human_Astro::conversation_1520760_2925.csv::s7,archetype_4,baseline_returned,True
Human_Astro::conversation_3395760_1031.csv::s17,archetype_4,baseline_returned,True
Human_Astro::conversation_3308505_2019.csv::s10,archetype_4,baseline_returned,True
Human_Astro::conversation_1851096_2048.csv::s7,archetype_4,baseline_returned,True
Human_Astro::conversation_3141140_670.csv::s1,archetype_4,baseline_returned,True
Human_Astro::conversation_3141140_670.csv::s13,archetype_4,baseline_returned,True
Human_Astro::conversation_3552969_680.csv::s1,archetype_4,baseline_returned,True
Human_Astro::conversation_1680677_1931.csv::s4,archetype_4,baseline_returned,True
Human_Astro::conversation_3568670_1747.csv::s13,archetype_4,baseline_returned,True
Human_Astro::conversation_1520760_2925.csv::s8,archetype_4,baseline_returned,True
Human_Single::conversation_1393970_340.csv::s5,archetype_4,unknown,
Human_Astro::conversation_3428129_1844.csv::s19,archetype_4,baseline_returned,True
Sitara-2::conversation_5256384_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3547075_658.csv::s1,archetype_4,baseline_returned,True
Human_Astro::conversation_3137279_2041.csv::s5,archetype_3,baseline_returned,True
Human_Astro::conversation_3460845_3788.csv::s6,archetype_4,baseline_returned,True
Human_Astro::conversation_3289400_670.csv::s9,archetype_4,baseline_returned,True
Human_Astro::conversation_2850603_1238.csv::s17,archetype_2,baseline_returned,True
Sitara-2::conversation_5227780_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-1::conversation_3400356_4336.csv::s1,archetype_4,Sitara-1,True
Sitara-1::conversation_2682414_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_3596060_2005.csv::s5,archetype_4,baseline_returned,True
Human_Astro::conversation_3084324_3727.csv::s10,archetype_4,baseline_returned,True
Human_Astro::conversation_3274321_3667.csv::s8,archetype_2,baseline_returned,True
Human_Astro::conversation_3428988_546.csv::s12,archetype_4,baseline_returned,True
Human_Astro::conversation_3428129_1844.csv::s2,archetype_4,baseline_returned,True
Human_Astro::conversation_2678448_3177.csv::s1,archetype_4,baseline_returned,True
Sitara-1::conversation_3577422_4336.csv::s1,archetype_4,Sitara-1,False
Sitara-2::conversation_3157764_4336.csv::s1,archetype_4,Sitara-2,True
Human_Astro::conversation_1851096_2048.csv::s2,archetype_6,baseline_returned,True
Human_Astro::conversation_3395760_1031.csv::s15,archetype_4,baseline_returned,True
Human_Astro::conversation_3292393_4042.csv::s6,archetype_4,baseline_returned,True
Human_Astro::conversation_2725383_4463.csv::s10,archetype_4,baseline_returned,True
Sitara-1::conversation_2682414_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_3283278_321.csv::s9,archetype_6,baseline_returned,True
Sitara-1::conversation_3630142_4336.csv::s1,archetype_4,Sitara-1,False
Human_Astro::conversation_3079187_926.csv::s12,archetype_4,baseline_returned,True
Sitara-1::conversation_3323468_4336.csv::s2,archetype_2,Sitara-1,True
Human_Astro::conversation_3712530_4320.csv::s5,archetype_4,baseline_returned,True
Human_Astro::conversation_3428129_1844.csv::s7,archetype_4,baseline_returned,True
Human_Astro::conversation_2634220_347.csv::s2,archetype_1,baseline_returned,True
Sitara-2::conversation_5160856_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3761643_2353.csv::s17,archetype_2,baseline_returned,True
Human_Astro::conversation_3428129_1844.csv::s21,archetype_4,baseline_returned,True
Human_Astro::conversation_3607008_1041.csv::s11,archetype_4,baseline_returned,True
Human_Astro::conversation_3355731_1117.csv::s10,archetype_4,baseline_returned,True
Human_Astro::conversation_1378119_1270.csv::s10,archetype_4,baseline_returned,True
Sitara-1::conversation_3650536_4336.csv::s1,archetype_4,Sitara-1,True
Human_Single::conversation_971120_1297.csv::s4,archetype_1,unknown,
Human_Astro::conversation_3100018_2041.csv::s6,archetype_6,baseline_returned,True
Human_Astro::conversation_3233283_1873.csv::s5,archetype_4,baseline_returned,True
Human_Astro::conversation_3217935_1737.csv::s2,archetype_4,baseline_returned,True
Human_Astro::conversation_3712530_4320.csv::s12,archetype_6,baseline_returned,True
Human_Astro::conversation_2678448_3177.csv::s8,archetype_4,baseline_returned,True
Human_Astro::conversation_1378119_1270.csv::s8,archetype_4,baseline_returned,True
Sitara-1::conversation_3628759_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_3475164_2462.csv::s13,archetype_2,baseline_returned,True
Sitara-2::conversation_5181346_4336.csv::s2,archetype_4,Sitara-2,True
Human_Astro::conversation_3761643_2353.csv::s12,archetype_6,baseline_returned,True
Human_Astro::conversation_1680677_1931.csv::s13,archetype_2,baseline_returned,True
Human_Astro::conversation_3371122_1117.csv::s4,archetype_4,baseline_returned,True
Sitara-2::conversation_5263918_4336.csv::s1,archetype_2,Sitara-2,True
Sitara-1::conversation_806869_4336.csv::s1,archetype_4,Sitara-1,False
Human_Astro::conversation_2946836_3183.csv::s3,archetype_4,baseline_returned,True
Sitara-2::conversation_5203512_4336.csv::s1,archetype_4,Sitara-2,False
Human_Single::conversation_824271_2078.csv::s10,archetype_4,unknown,
Sitara-2::conversation_5210404_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-1::conversation_3629097_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_3630862_1330.csv::s5,archetype_4,baseline_returned,True
Human_Astro::conversation_3274321_3667.csv::s5,archetype_4,baseline_returned,True
Human_Astro::conversation_3775635_1691.csv::s7,archetype_4,baseline_returned,True
Sitara-1::conversation_3552080_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_1520760_2925.csv::s10,archetype_4,baseline_returned,True
Sitara-2::conversation_5244133_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3428129_1844.csv::s10,archetype_4,baseline_returned,True
Human_Astro::conversation_3084324_3727.csv::s3,archetype_6,baseline_returned,True
Human_Astro::conversation_3258729_2041.csv::s9,archetype_6,baseline_returned,True
Sitara-2::conversation_5226060_4336.csv::s2,archetype_4,Sitara-2,True
Human_Astro::conversation_2634220_347.csv::s1,archetype_2,baseline_returned,True
Human_Astro::conversation_3684647_765.csv::s11,archetype_6,baseline_returned,True
Human_Astro::conversation_3568670_1747.csv::s11,archetype_4,baseline_returned,True
Human_Astro::conversation_2634220_347.csv::s8,archetype_6,baseline_returned,True
Human_Astro::conversation_3552969_680.csv::s7,archetype_6,baseline_returned,True
Human_Astro::conversation_3552969_680.csv::s6,archetype_4,baseline_returned,True
Sitara-2::conversation_5229616_4336.csv::s3,archetype_3,Sitara-2,True
Human_Astro::conversation_2946836_3183.csv::s5,archetype_4,baseline_returned,True
Human_Astro::conversation_3684647_765.csv::s7,archetype_6,baseline_returned,True
Sitara-2::conversation_5167954_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-2::conversation_5229616_4336.csv::s2,archetype_4,Sitara-2,True
Human_Single::conversation_915999_60.csv::s4,archetype_1,unknown,
Human_Astro::conversation_3630862_1330.csv::s4,archetype_6,baseline_returned,True
Human_Astro::conversation_3283278_321.csv::s4,archetype_4,baseline_returned,True
Human_Single::conversation_924306_1947.csv::s2,archetype_6,baseline_returned,True
Sitara-1::conversation_3607679_4336.csv::s1,archetype_4,Sitara-1,False
Sitara-1::conversation_182120_4336.csv::s4,archetype_4,Sitara-1,True
Human_Astro::conversation_3607008_1041.csv::s8,archetype_4,baseline_returned,True
Human_Astro::conversation_3761643_2353.csv::s10,archetype_2,baseline_returned,True
Sitara-1::conversation_3574193_4336.csv::s1,archetype_2,Sitara-1,False
Human_Astro::conversation_3552969_680.csv::s9,archetype_5,baseline_returned,True
Human_Astro::conversation_3289400_670.csv::s5,archetype_4,baseline_returned,True
